X	Y	surf.quadrat	STtot	STfrene	STfrene.lis
343000	2204000	256	1.97	0.15	0.155
343000	2188000	256	1.61	0.171	0.188
343000	2172000	256	0.44	0.268	0.242
343000	2156000	256	0	0.102	0.146
343000	2140000	256	0.19	0.102	0.135
343000	2092000	256	1.72	0.26	0.264
343000	2028000	256	4.74	0.16	0.158
343000	2012000	256	7.48	0.101	0.119
343000	1996000	256	10.91	0.101	0.114
343000	1980000	256	5.08	0.101	0.109
343000	1964000	256	8.79	0.101	0.112
343000	1948000	256	8.97	0.236	0.172
343000	1932000	256	7.46	0.101	0.11
343000	1916000	256	6.03	0.1	0.106
343000	1900000	256	7.74	0.101	0.108
343000	1884000	256	8.67	0.12	0.127
343000	1868000	256	3.36	0.189	0.174
343000	1852000	256	4.24	0.132	0.17
343000	1836000	256	6.66	0.289	0.266
343000	1820000	256	4.12	0.203	0.261
343000	1804000	256	8.81	0.688	0.523
343000	1788000	256	11.5	0.398	0.372
359000	2476000	256	1.72	0.199	0.177
359000	2460000	256	1.26	0.111	0.142
359000	2444000	256	1.62	0.131	0.145
359000	2428000	256	2.68	0.111	0.131
359000	2412000	256	2.47	0.101	0.115
359000	2396000	256	0.61	0.101	0.11
359000	2380000	256	0.29	0.1	0.106
359000	2364000	256	2.04	0.1	0.107
359000	2348000	256	2.8	0.101	0.111
359000	2332000	256	0.52	0.101	0.113
359000	2316000	256	0.66	0.101	0.116
359000	2300000	256	0.61	0.101	0.122
359000	2284000	256	1.3	0.247	0.194
359000	2268000	256	0.67	0.189	0.169
359000	2252000	256	0.52	0.101	0.117
359000	2236000	256	0.46	0.101	0.113
359000	2220000	256	0.53	0.101	0.114
359000	2204000	256	0.79	0.101	0.122
359000	2188000	256	1.24	0.131	0.159
359000	2172000	256	3.32	0.356	0.289
359000	2156000	256	0.5	0.327	0.28
359000	2140000	256	1.58	0.151	0.183
359000	2124000	256	0.74	0.151	0.183
359000	2108000	256	1.55	0.27	0.263
359000	2092000	256	3.04	0.251	0.281
359000	2076000	256	2.85	0.329	0.321
359000	1996000	256	4.06	0.101	0.125
359000	1980000	256	4.37	0.101	0.122
359000	1964000	256	8.29	0.101	0.123
359000	1948000	256	10.45	0.101	0.12
359000	1932000	256	8.45	0.101	0.113
359000	1916000	256	6.9	0.1	0.107
359000	1900000	256	6.48	0.101	0.109
359000	1884000	256	8.2	0.101	0.122
359000	1868000	256	4.01	0.102	0.141
359000	1852000	256	4.11	0.298	0.267
359000	1836000	256	4.44	0.251	0.267
359000	1820000	256	4.29	0.312	0.348
359000	1804000	256	6.81	0.43	0.453
359000	1788000	256	9.03	1.127	0.712
375000	2476000	256	1.32	0.382	0.265
375000	2460000	256	0.49	0.102	0.148
375000	2444000	256	2.26	0.247	0.204
375000	2428000	256	1.13	0.101	0.126
375000	2412000	256	1.78	0.15	0.138
375000	2396000	256	0.47	0.101	0.11
375000	2380000	256	0	0.101	0.109
375000	2364000	256	3.01	0.101	0.11
375000	2348000	256	1.18	0.101	0.118
375000	2332000	256	0.5	0.275	0.199
375000	2316000	256	1.15	0.101	0.125
375000	2300000	256	1.58	0.111	0.135
375000	2284000	256	2.95	0.276	0.222
375000	2268000	256	1.06	0.101	0.136
375000	2252000	256	0.42	0.121	0.135
375000	2236000	256	3.01	0.101	0.118
375000	2220000	256	0.92	0.101	0.121
375000	2204000	256	0.71	0.101	0.127
375000	2188000	256	1.03	0.102	0.148
375000	2172000	256	1	0.318	0.285
375000	2156000	256	1.2	0.606	0.419
375000	2140000	256	1.44	0.22	0.23
375000	2124000	256	1.77	0.151	0.179
375000	2108000	256	1.85	0.123	0.188
375000	2092000	256	4.89	0.503	0.405
375000	2076000	256	1.33	0.543	0.445
375000	2060000	256	2.85	0.299	0.287
375000	2044000	256	3.91	0.102	0.15
375000	2028000	256	4.29	0.121	0.146
375000	2012000	256	1.78	0.17	0.174
375000	1996000	256	0.71	0.209	0.192
375000	1980000	256	2.14	0.131	0.156
375000	1964000	256	9.13	0.324	0.235
375000	1948000	256	12.99	0.14	0.147
375000	1932000	256	8.9	0.101	0.114
375000	1916000	256	5.56	0.1	0.108
375000	1900000	256	6.06	0.101	0.109
375000	1884000	256	8.82	0.101	0.12
375000	1868000	256	2.83	0.431	0.297
375000	1852000	256	3.4	0.241	0.257
375000	1836000	256	3.9	0.31	0.317
375000	1820000	256	3.58	0.312	0.351
375000	1804000	256	7.44	1.131	0.753
375000	1788000	256	10.82	0.767	0.582
375000	1772000	256	7.56	0.133	0.203
391000	2476000	256	0.81	0.239	0.216
391000	2460000	256	1.65	0.278	0.244
391000	2444000	256	3.69	0.238	0.208
391000	2428000	256	1.52	0.15	0.157
391000	2412000	256	2.58	0.101	0.118
391000	2396000	256	4.76	0.101	0.113
391000	2380000	256	1.09	0.101	0.112
391000	2364000	256	3.53	0.169	0.148
391000	2348000	256	1.35	0.101	0.123
391000	2332000	256	0.55	0.179	0.163
391000	2316000	256	1.05	0.199	0.173
391000	2300000	256	3.14	0.208	0.178
391000	2284000	256	4.47	0.131	0.148
391000	2268000	256	2.58	0.448	0.284
391000	2252000	256	1.23	0.131	0.143
391000	2236000	256	1.36	0.13	0.138
391000	2220000	256	0.91	0.256	0.197
